,date,Country, Births per 1000 People, Population,Total Number of Births, Deaths per 1000 People,Total Number of Deaths,Marriages,Divorces
0,12/31/50,United States,24.268,158804395,3853865.05786,9.649,1532303.6073549998,1667000.0,385000.0
1,12/31/51,United States,24.211,160872266,3894878.432126,9.619,1547430.326654,1595000.0,381000.0
2,12/31/52,United States,24.155,163266028,3943690.90634,9.589,1565557.942492,1539000.0,392000.0
3,12/31/53,United States,24.099,165910003,3998265.1622969997,9.559,1585933.718677,1546000.0,390000.0
4,12/31/54,United States,24.043000000000003,168736387,4056928.952641,9.529,1607889.031723,1490000.0,379000.0
5,12/31/55,United States,23.987,171685336,4118216.1546319993,9.499,1630839.006664,1531000.0,377000.0
6,12/31/56,United States,23.93,174705003,4180690.72179,9.469,1654281.6734069998,1585000.0,382000.0
7,12/31/57,United States,23.874000000000002,177751483,4243638.905142,9.439,1677796.248037,1518000.0,381000.0
8,12/31/58,United States,23.818,180788392,4306017.920656,9.408999999999999,1701037.980328,1451000.0,368000.0
9,12/31/59,United States,23.256999999999998,183786252,4274316.862763999,9.416,1730531.348832,1494000.0,395000.0
10,12/31/60,United States,22.695999999999998,186720571,4237810.079415999,9.423,1759467.940533,1523000.0,393000.0
11,12/31/61,United States,22.134,189569843,4195938.9049619995,9.429,1787454.0496470002,1548000.0,414000.0
12,12/31/62,United States,21.573,192313746,4148784.442458,9.436,1814672.507256,1577000.0,413000.0
13,12/31/63,United States,21.011999999999997,194932403,4095919.6518359995,9.443,1840746.681529,1654000.0,428000.0
14,12/31/64,United States,20.336,197408505,4014499.35768,9.472999999999999,1870050.7678649998,1725000.0,450000.0
15,12/31/65,United States,19.66,199733676,3926764.0701599997,9.503,1898069.1230280001,1800000.0,479000.0
16,12/31/66,United States,18.984,201895760,3832789.10784,9.533999999999999,1924874.1758399997,1857000.0,499000.0
17,12/31/67,United States,18.308,203905080,3733094.2046399997,9.564,1950148.18512,1927000.0,523000.0
18,12/31/68,United States,17.632,205805754,3628767.0545280003,9.594,1974500.4038759999,2069000.0,584000.0
19,12/31/69,United States,17.232,207659263,3578384.4200159996,9.555,1984184.2579649999,2145000.0,639000.0
20,12/31/70,United States,16.832,209513341,3526528.5557120005,9.516,1993728.952956,2185802.0,708000.0
21,12/31/71,United States,16.430999999999997,211384068,3473251.621308,9.476,2003075.4283680003,2190481.0,773000.0
22,12/31/72,United States,16.031,213269802,3418928.1958619994,9.437000000000001,2012627.1214740002,2282154.0,845000.0
23,12/31/73,United States,15.630999999999998,215178797,3363459.7759069996,9.398,2022250.3342059997,2284108.0,915000.0
24,12/31/74,United States,15.456,217114909,3355728.033504,9.288,2016563.274792,2245929.0,983931.0
25,12/31/75,United States,15.280999999999999,219081251,3347780.5965309995,9.177999999999999,2010727.7216779997,2159810.0,1036709.0
26,12/31/76,United States,15.106,221086429,3339731.596474,9.068999999999999,2005032.824601,2159051.0,1090430.0
